question_uid,branch,subject,topic,qtype,difficulty,statement,option_A,option_B,option_C,option_D,correct_answer,explanation,tags,estimated_time,marks
75fc3d0c-b5cc-40e1-87f3-21197b32639f,Industrial,Industrial Fundamentals,Industrial Fundamentals - Topic 2,CODE,Medium,Write a function to solve binary search in Industrial Fundamentals - Topic 2.,,,,,,,,3,1
aa88e2e4-f24a-4114-b49d-981ae091ece5,Environmental,Environmental Applications,Environmental Applications - Topic 1,SA,Medium,Explain the concept of method in Environmental Applications - Topic 1.,,,,,,,,3,1
5f7e307f-04e5-45a5-888f-30d527140b46,EEE,EEE Applications,EEE Applications - Topic 2,MCQ,Expert,"In EEE Applications - Topic 2, what is the main purpose of hash table?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
2ab0c4a4-a063-442e-b8b3-5c2362b66821,Mechanical,Mechanics,Mechanics - Topic 1,MCQ,Expert,"In Mechanics - Topic 1, what is the main purpose of queue?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
946c2692-f0a8-4b7c-a008-a9ab97b9b2e9,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,SA,Easy,Explain the concept of method in ISE Fundamentals - Topic 2.,,,,,,,,3,1
89e06f19-aeb9-42a1-b3fe-fa49d5346ab1,AIML,AIML Applications,AIML Applications - Topic 1,NUM,Easy,"Given values a=38 and b=74 in AIML Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c7ec9689-9cf1-471c-af02-a4b6aa5e2f31,AIML,AIML Applications,AIML Applications - Topic 2,LA,Expert,Explain the concept of method in AIML Applications - Topic 2.,,,,,,,,3,1
0af2a8ec-25b5-4fe8-ac02-a0c5aef44cc7,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,SA,Medium,Explain the concept of principle in Data Science Fundamentals - Topic 2.,,,,,,,,3,1
b339f637-ad45-4f5e-9c98-fa464f1e1d9d,Environmental,Environmental Applications,Environmental Applications - Topic 1,CODE,Easy,Write a function to solve binary search in Environmental Applications - Topic 1.,,,,,,,,3,1
ebd363bc-69fc-4aec-8f82-57d67f2d87a5,Aerospace,Aerospace Applications,Aerospace Applications - Topic 2,MCQ,Expert,"In Aerospace Applications - Topic 2, what is the main purpose of queue?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
01026561-1645-4f2e-8989-106fdf7f1159,CSE,Algorithms,Algorithms - Topic 2,TF,Easy,Algorithms - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
ddc899a7-d288-4e26-97c5-ab2604913dc7,CSE,Data Structures,Data Structures - Topic 2,SA,Hard,Explain the concept of trade-off in Data Structures - Topic 2.,,,,,,,,3,1
5206674b-49d3-4899-9aa4-083dc1126ae2,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,TF,Expert,Data Science Fundamentals - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
9d071ef2-cd60-4400-93c5-d4d420c6f1cd,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,CODE,Expert,Write a function to solve reverse string in Environmental Fundamentals - Topic 2.,,,,,,,,3,1
df11dc06-9cf8-49c1-a564-396d3e2cca10,Robotics,Robotics Applications,Robotics Applications - Topic 2,MCQ,Expert,"In Robotics Applications - Topic 2, what is the main purpose of tree?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
adf95b74-da22-4611-a4a1-1cb59e574266,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 2,CODE,Medium,Write a function to solve flood fill in Mechatronics Fundamentals - Topic 2.,,,,,,,,3,1
9387d15c-baab-4021-a023-0d9f7a5e719c,Civil,Civil Applications,Civil Applications - Topic 1,NUM,Hard,"Given values a=43 and b=62 in Civil Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5db9a9d9-0135-45f8-a509-c94af100d48c,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 2,CODE,Easy,Write a function to solve reverse string in Biotechnology Fundamentals - Topic 2.,,,,,,,,3,1
060a6864-c9f2-4df9-9b10-97b112cd04b3,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 1,NUM,Expert,"Given values a=75 and b=3 in Robotics Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c226effd-4345-492b-82f4-2d667e0066eb,Industrial,Industrial Applications,Industrial Applications - Topic 2,NUM,Expert,"Given values a=28 and b=28 in Industrial Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
372589d9-bdd2-404b-8446-ccc146113170,Robotics,Robotics Applications,Robotics Applications - Topic 1,CODE,Easy,Write a function to solve flood fill in Robotics Applications - Topic 1.,,,,,,,,3,1
60df3c23-0070-499c-8b19-75185ad08e8d,AIML,AIML Fundamentals,AIML Fundamentals - Topic 1,SA,Hard,Explain the concept of trade-off in AIML Fundamentals - Topic 1.,,,,,,,,3,1
63294361-a947-4e9a-b822-5dabc6dcd686,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,TF,Easy,ISE Fundamentals - Topic 2 typically requires understanding of recursion.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
e64e4244-8710-4c52-b7cc-e2b4640ae48b,CSE,Databases,Databases - Topic 2,CODE,Easy,Write a function to solve reverse string in Databases - Topic 2.,,,,,,,,3,1
8edadf97-0b51-4176-9144-d68a2d698518,Biotechnology,Biotechnology Applications,Biotechnology Applications - Topic 2,TF,Expert,Biotechnology Applications - Topic 2 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
49cb6865-abc0-43ed-bfab-26d14c07c65a,Mechatronics,Mechatronics Applications,Mechatronics Applications - Topic 1,TF,Easy,Mechatronics Applications - Topic 1 typically requires understanding of synchronization.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
56e93a49-bf07-4654-9340-74546d39555c,Robotics,Robotics Applications,Robotics Applications - Topic 2,SA,Expert,Explain the concept of trade-off in Robotics Applications - Topic 2.,,,,,,,,3,1
6618ed95-b1d8-4f1d-a130-d8672faf0712,CSE,Data Structures,Data Structures - Topic 2,CODE,Easy,Write a function to solve reverse string in Data Structures - Topic 2.,,,,,,,,3,1
61746db0-53e3-4891-a2ac-3bffe58f4a5e,Automobile,Automobile Applications,Automobile Applications - Topic 2,CODE,Medium,Write a function to solve reverse string in Automobile Applications - Topic 2.,,,,,,,,3,1
db606184-9965-4fb9-b801-1397e3d02344,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 1,SA,Easy,Explain the concept of trade-off in Automobile Fundamentals - Topic 1.,,,,,,,,3,1
2b5e772c-871d-48bb-9afc-3e70f42e2ed2,Civil,Civil Applications,Civil Applications - Topic 1,TF,Hard,Civil Applications - Topic 1 typically requires understanding of recursion.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
781a7952-eb20-4f1f-a8d8-36fb474d8c47,AIML,AIML Fundamentals,AIML Fundamentals - Topic 1,SA,Hard,Explain the concept of principle in AIML Fundamentals - Topic 1.,,,,,,,,3,1
39f05993-b66d-430c-93ff-6ffd4cceb71c,ECE,Communication Systems,Communication Systems - Topic 1,TF,Easy,Communication Systems - Topic 1 typically requires understanding of concurrency.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
702c3557-a4ca-460b-b96a-f9ef4058a3bb,Mechanical,Thermodynamics,Thermodynamics - Topic 1,SA,Medium,Explain the concept of method in Thermodynamics - Topic 1.,,,,,,,,3,1
d6093274-deab-48a0-a622-8ecb135f22e7,ECE,Signals,Signals - Topic 1,MCQ,Expert,"In Signals - Topic 1, what is the main purpose of queue?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
9c1e4d14-b7e2-4b0b-b83b-7cfff227031f,CSE,Algorithms,Algorithms - Topic 1,NUM,Expert,"Given values a=62 and b=30 in Algorithms - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
896af95c-72ed-40b0-b8e2-d9f28776fa1d,ECE,Signals,Signals - Topic 2,SA,Expert,Explain the concept of trade-off in Signals - Topic 2.,,,,,,,,3,1
8c2bbc66-379b-4ed3-8020-f06fef4f0b1c,Mechanical,Mechanics,Mechanics - Topic 2,MCQ,Expert,"In Mechanics - Topic 2, what is the main purpose of tree?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
bc7c7331-33ca-4049-88c1-5d7be70641e4,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 2,LA,Hard,Explain the concept of trade-off in Robotics Fundamentals - Topic 2.,,,,,,,,3,1
01f62587-99cc-49ea-b8ac-6408466be62c,AIML,AIML Fundamentals,AIML Fundamentals - Topic 2,CODE,Hard,Write a function to solve flood fill in AIML Fundamentals - Topic 2.,,,,,,,,3,1
39f6054c-39fb-4045-b75e-8fc9ef58a54c,Cyber Security,Cyber Security Applications,Cyber Security Applications - Topic 2,MCQ,Hard,"In Cyber Security Applications - Topic 2, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
320579f3-d8a4-4655-8186-175179fbdb94,Data Science,Data Science Applications,Data Science Applications - Topic 2,SA,Easy,Explain the concept of method in Data Science Applications - Topic 2.,,,,,,,,3,1
7976aa59-3654-4ec3-9010-4f6599359da6,ECE,Digital Design,Digital Design - Topic 1,CODE,Easy,Write a function to solve binary search in Digital Design - Topic 1.,,,,,,,,3,1
20502915-2634-4006-b182-5bf8290cc7f2,Industrial,Industrial Applications,Industrial Applications - Topic 1,TF,Medium,Industrial Applications - Topic 1 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
e6a71d62-63cf-476a-aab0-d835a70a6d45,CSE,Data Structures,Data Structures - Topic 2,MCQ,Medium,"In Data Structures - Topic 2, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
f75799b3-ef93-4dcf-bf3b-539dd88c0880,AIML,AIML Fundamentals,AIML Fundamentals - Topic 2,LA,Hard,Explain the concept of method in AIML Fundamentals - Topic 2.,,,,,,,,3,1
e5636d8d-a6bf-4ba7-ae00-3293b55463b5,EEE,EEE Fundamentals,EEE Fundamentals - Topic 1,TF,Expert,EEE Fundamentals - Topic 1 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
e8fcfd71-a8eb-4dc0-948e-75bc5ac530e2,Mechanical,Fluid Mechanics,Fluid Mechanics - Topic 2,LA,Hard,Explain the concept of method in Fluid Mechanics - Topic 2.,,,,,,,,3,1
8a3cc335-dd1a-4837-9606-2ec55e452366,CSE,Databases,Databases - Topic 1,SA,Hard,Explain the concept of method in Databases - Topic 1.,,,,,,,,3,1
6965fa2b-5d02-44a5-b084-372e2e14c457,Mechanical,Mechanics,Mechanics - Topic 1,SA,Hard,Explain the concept of trade-off in Mechanics - Topic 1.,,,,,,,,3,1
27a74045-482f-4943-be98-64c249f75e9c,Mechatronics,Mechatronics Applications,Mechatronics Applications - Topic 2,SA,Easy,Explain the concept of trade-off in Mechatronics Applications - Topic 2.,,,,,,,,3,1
ebbb035c-627e-4db1-bada-52724ef0e055,Mechanical,Thermodynamics,Thermodynamics - Topic 2,NUM,Expert,"Given values a=43 and b=74 in Thermodynamics - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
86819ca8-e55b-41c6-9543-d907d2a28e65,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 1,CODE,Expert,Write a function to solve binary search in Robotics Fundamentals - Topic 1.,,,,,,,,3,1
55d5b425-7010-4431-9219-de5e61f6380b,Chemical,Chemical Applications,Chemical Applications - Topic 2,CODE,Hard,Write a function to solve binary search in Chemical Applications - Topic 2.,,,,,,,,3,1
d4974468-fc32-4f2d-8cac-8bda9d98f65a,Chemical,Chemical Applications,Chemical Applications - Topic 1,CODE,Medium,Write a function to solve reverse string in Chemical Applications - Topic 1.,,,,,,,,3,1
598eba02-ad0d-4119-bd08-b08ba3577382,Industrial,Industrial Applications,Industrial Applications - Topic 2,TF,Expert,Industrial Applications - Topic 2 typically requires understanding of concurrency.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
5f38ef54-0aa7-4adb-a1f8-4f555facec91,Chemical,Chemical Fundamentals,Chemical Fundamentals - Topic 1,CODE,Expert,Write a function to solve reverse string in Chemical Fundamentals - Topic 1.,,,,,,,,3,1
58482c17-131e-464f-8026-afe23715ff7f,EEE,EEE Applications,EEE Applications - Topic 1,MCQ,Expert,"In EEE Applications - Topic 1, what is the main purpose of graph?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
4fff7279-15e7-4587-b5de-c000c62d3de2,Civil,Civil Fundamentals,Civil Fundamentals - Topic 1,SA,Expert,Explain the concept of method in Civil Fundamentals - Topic 1.,,,,,,,,3,1
b89ef9ca-c053-4439-8b4f-9f4767b922f4,ECE,Circuits,Circuits - Topic 2,TF,Expert,Circuits - Topic 2 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
2aabcff8-b9ca-4ef1-8316-3e1d5169473d,Aerospace,Aerospace Applications,Aerospace Applications - Topic 2,LA,Expert,Explain the concept of trade-off in Aerospace Applications - Topic 2.,,,,,,,,3,1
5614f495-7dc2-4317-83fb-1216bebb5ed6,Environmental,Environmental Applications,Environmental Applications - Topic 2,TF,Hard,Environmental Applications - Topic 2 typically requires understanding of concurrency.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
b0c48fa0-5d54-4999-99c9-50a68771baca,Chemical,Chemical Applications,Chemical Applications - Topic 2,MCQ,Hard,"In Chemical Applications - Topic 2, what is the main purpose of tree?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
e551a874-fadf-4724-9049-462cf71173cd,Mechatronics,Mechatronics Applications,Mechatronics Applications - Topic 2,CODE,Easy,Write a function to solve reverse string in Mechatronics Applications - Topic 2.,,,,,,,,3,1
d1a2996e-23fa-44fd-ba24-553ed1504984,Aerospace,Aerospace Fundamentals,Aerospace Fundamentals - Topic 2,CODE,Medium,Write a function to solve flood fill in Aerospace Fundamentals - Topic 2.,,,,,,,,3,1
7cfad8da-9edb-4464-9c7f-899e1235e2ba,Environmental,Environmental Applications,Environmental Applications - Topic 2,TF,Hard,Environmental Applications - Topic 2 typically requires understanding of encryption.,True,False,,,True,Binary search has logarithmic time complexity.,,1,1
8f3a5b94-f917-4b57-8d9c-fb1f02bdc486,Cyber Security,Cyber Security Applications,Cyber Security Applications - Topic 1,MCQ,Easy,"In Cyber Security Applications - Topic 1, what is the main purpose of queue?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
915791c1-649f-4655-908c-c3ac443fa0d4,CSE,Computer Networks,Computer Networks - Topic 2,CODE,Easy,Write a function to solve reverse string in Computer Networks - Topic 2.,,,,,,,,3,1
d871a2c0-9c56-4807-9f2b-8d219b07ab4c,Chemical,Chemical Fundamentals,Chemical Fundamentals - Topic 1,LA,Easy,Explain the concept of method in Chemical Fundamentals - Topic 1.,,,,,,,,3,1
03e99f47-6278-4c4b-a215-ff91884a3c47,Aerospace,Aerospace Fundamentals,Aerospace Fundamentals - Topic 2,MCQ,Expert,"In Aerospace Fundamentals - Topic 2, what is the main purpose of stack?",A,B,C,D,A,Standard complexity; balanced tree yields O(log n) average.,,5,2
